Codigo Aduana,Tipo de envio,Numero de seguimiento,Fecha Recepcion Aduana,Valor Base,Telefono Contacto,Peso del Paquete,Dimensiones Paquete,Fragil,Direccion
47807560,Express,RW630972145JP,25-10-2023,50000,56948873083,101,40x40x40,Si ,Almte. Juan Jose Latorre 2672
47394239,Gratis,N/A,16-05-2023,47000,56912345678,160,50x50x50,No,Cap. Carlos Condell 11
47010171,Economico,XS814769325FR,06-11-2022,34000,56987654331,190,40x40x40,Si ,Uribe 815-763
47807561,Express,ZP752890361DE,30-10-2023,51000,56948873084,100,30x30x30,No,Almte. Juan Jose Latorre 2673
47394240,Gratis,N/A,21-05-2023,46500,56912345679,161,41x41x41,Si ,Cap. Carlos Condell 12
47010172,Economico,QN940765218US,03-11-2022,33500,56987654332,189,39x39x39,No,Uribe 816-764
47807562,Express,YR569078421JP,05-11-2023,52000,56948873085,99 ,29x29x29,Si ,Almte. Juan Jose Latorre 2674
47394241,Gratis,N/A,26-05-2023,46000,56912345670,162,42x42x42,No,Cap. Carlos Condell 13
47010173,Economico,PL620479536FR,01-11-2022,33000,56987654333,188,38x38x38,Si ,Uribe 817-765
47807563,Express,OG426513870DE,10-11-2023,53000,56948873086,98 ,28x28x28,No,Almte. Juan Jose Latorre 2675
47394242,Gratis,N/A,31-05-2023,45500,56912345671,163,43x43x43,Si ,Cap. Carlos Condell 14
47010174,Economico,JM728056319US,30-10-2022,32500,56987654334,187,37x37x37,No,Uribe 818-766
47807564,Express,HX834619245JP,15-11-2023,54000,56948873087,97 ,27x27x27,Si ,Almte. Juan Jose Latorre 2676
47394243,Gratis,N/A,05-06-2023,45000,56912345672,164,44x44x44,No,Cap. Carlos Condell 15
47010175,Economico,EK941073682FR,20-10-2022,32000,56987654335,186,36x36x36,Si ,Uribe 819-767
47807565,Express,BX516702943DE,20-11-2023,55000,56948873088,96 ,26x26x26,No,Almte. Juan Jose Latorre 2677
